日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额,first_w_list,second_d_list,t_d_list,Stopflag,Stopprice,Openrecord,Closerecord,Porfitrecord
2016-6-8,'399300,沪深300,3163.986,3174.971,3148.351,3171.813,3177.053,-13.067,-0.4113,7629177500,97682790861.0,1,2,0,0,0.0,0.0,0.0,2772.03
2016-6-7,'399300,沪深300,3177.053,3186.616,3168.179,3182.437,3178.788,-1.735,-0.0546,6892831400,88711618425.0,1,2,0,0,0.0,0.0,0.0,2772.03
2016-6-6,'399300,沪深300,3178.788,3197.22,3168.554,3192.779,3189.325,-10.537,-0.3304,7669375100,1.01e+11,1,0,0,0,0.0,0.0,0.0,2772.03
2016-6-3,'399300,沪深300,3189.325,3201.749,3162.088,3172.946,3167.099,22.226,0.7018,10149178300,1.36e+11,1,0,0,0,0.0,0.0,0.0,2772.03
2016-6-2,'399300,沪深300,3167.099,3168.824,3151.065,3158.025,3160.547,6.552,0.2073,8600342700,97093625345.0,1,0,0,0,0.0,0.0,0.0,2772.03
2016-6-1,'399300,沪深300,3160.547,3181.792,3159.817,3172.961,3169.559,-9.012,-0.2843,11314848200,1.32e+11,1,0,0,0,0.0,0.0,0.0,2772.03
2016-5-31,'399300,沪深300,3169.559,3170.926,3068.596,3068.596,3066.709,102.85,3.3538,13886311100,1.51e+11,1,0,0,0,0.0,0.0,3075.261,2772.03
2016-5-30,'399300,沪深300,3066.709,3075.261,3037.664,3056.313,3062.499,4.21,0.1375,6309857900,63496565009.0,-1,-2,0,-4,3098.478,3076.503,0.0,2770.788
2016-5-27,'399300,沪深300,3062.499,3073.756,3052.179,3059.732,3064.211,-1.712,-0.0559,6046875000,59371777079.0,-1,0,0,-4,3098.478,3076.503,0.0,2770.788
2016-5-26,'399300,沪深300,3064.211,3072.524,3027.444,3056.6,3059.225,4.986,0.163,6039298100,65985183919.0,-1,-2,0,-4,3098.478,3076.503,0.0,2770.788
