Date,Date,Close,ema_fi
2015-06-01,2015-06-01,5.07,8893846728.0
2015-06-02,2015-06-02,5.156,2321006418.75
2015-06-03,2015-06-03,5.113,671580474.6
2015-06-04,2015-06-04,5.171,303717674.685
2015-06-05,2015-06-05,5.179,108116995.83
2015-06-08,2015-06-08,5.306,249873529.35
2015-06-09,2015-06-09,5.263,32672027.3676
2015-06-10,2015-06-10,5.258,8543068.15482
2015-06-11,2015-06-11,5.259,3336820.68016
2015-06-12,2015-06-12,5.298,22446460.3835
2015-06-15,2015-06-15,5.171,-66842077.9753
2015-06-16,2015-06-16,5.035,-105037544.263
2015-06-17,2015-06-17,5.11,19688773.4771
2015-06-18,2015-06-18,4.909,-110325007.89
2015-06-19,2015-06-19,4.603,-257912624.516
2015-06-23,2015-06-23,4.766,105357077.467
2015-06-24,2015-06-24,4.871,129033917.006
2015-06-25,2015-06-25,4.696,-35865418.0904
2015-06-26,2015-06-26,4.346,-242792646.208
2015-06-29,2015-06-29,4.182,-270601692.744
2015-06-30,2015-06-30,4.484,466550045.956
2015-07-01,2015-07-01,4.197,-109741422.566
2015-07-02,2015-07-02,4.108,-170770959.923
2015-07-03,2015-07-03,3.919,-508249806.909
2015-07-06,2015-07-06,4.025,178143518.765
2015-07-07,2015-07-07,3.848,-339858752.679
2015-07-08,2015-07-08,3.463,-538995483.56
2015-07-09,2015-07-09,3.809,141551204.813
2015-07-10,2015-07-10,4.189,363789626.938
2015-07-13,2015-07-13,4.234,152230720.979
2015-07-14,2015-07-14,4.154,2224538.99309
2015-07-15,2015-07-15,3.945,-82953721.3356
2015-07-16,2015-07-16,4.036,10796556.8215
2015-07-17,2015-07-17,4.2,83811000.8072
2015-07-20,2015-07-20,4.188,22420231.4691
2015-07-21,2015-07-21,4.214,15641906.7564
2015-07-22,2015-07-22,4.194,326319.58545
2015-07-23,2015-07-23,4.308,39665929.5951
2015-07-24,2015-07-24,4.218,-11980477.4683
2015-07-27,2015-07-27,3.8,-145748829.289
2015-07-28,2015-07-28,3.846,-25226844.8298
2015-07-29,2015-07-29,3.989,41597741.7901
2015-07-30,2015-07-30,3.85,-22289978.4033
2015-07-31,2015-07-31,3.851,-7196320.06777
2015-08-03,2015-08-03,3.852,-2252544.02259
2015-08-04,2015-08-04,4.005,28088642.1925
2015-08-05,2015-08-05,3.916,-12803560.1358
2015-08-06,2015-08-06,3.873,-12749500.1786
2015-08-07,2015-08-07,3.953,32331137.2738
2015-08-10,2015-08-10,4.148,62667780.7579
2015-08-11,2015-08-11,4.099,11075370.386
2015-08-12,2015-08-12,4.057,-7186811.87134
2015-08-13,2015-08-13,4.112,14663881.7096
2015-08-14,2015-08-14,4.102,1249008.56985
2015-08-17,2015-08-17,4.109,2029129.65662
2015-08-18,2015-08-18,3.827,-85916649.0478
2015-08-19,2015-08-19,3.915,6089642.3174
2015-08-20,2015-08-20,3.815,-13525212.5609
2015-08-21,2015-08-21,3.625,-92305884.187
2015-08-24,2015-08-24,3.263,-161629118.196
2015-08-25,2015-08-25,2.983,-186509722.065
2015-08-26,2015-08-26,3.067,-20975153.7551
2015-08-27,2015-08-27,3.257,82776467.415
2015-08-28,2015-08-28,3.402,82523569.1383
2015-08-31,2015-08-31,3.395,26044253.9128
2015-09-01,2015-09-01,3.382,6710520.03759
2015-09-02,2015-09-02,3.372,607447.345864
2015-09-07,2015-09-07,3.289,-9679353.68471
2015-09-08,2015-09-08,3.378,8833048.77176
2015-09-09,2015-09-09,3.442,10982169.3239
2015-09-10,2015-09-10,3.381,-472144.82536
2015-09-11,2015-09-11,3.388,1032991.25821
2015-09-14,2015-09-14,3.269,-15364232.8473
2015-09-15,2015-09-15,3.173,-18985327.7491
2015-09-16,2015-09-16,3.345,59301861.1503
2015-09-17,2015-09-17,3.28,1577119.38343
2015-09-18,2015-09-18,3.279,353607.594478
2015-09-21,2015-09-21,3.339,10220845.1982
2015-09-22,2015-09-22,3.365,7074875.86605
2015-09-23,2015-09-23,3.287,-2181406.84465
2015-09-25,2015-09-25,3.243,-4024164.14822
2015-09-29,2015-09-29,3.199,-3489074.98274
2015-09-30,2015-09-30,3.221,-426638.060913
2015-10-08,2015-10-08,3.337,8384475.5797
2015-10-09,2015-10-09,3.379,5518155.59323
2015-10-12,2015-10-12,3.52,20348389.3977
2015-10-13,2015-10-13,3.495,4377618.13258
2015-10-14,2015-10-14,3.457,-1424803.95581
2015-10-15,2015-10-15,3.546,7020182.54806
2015-10-16,2015-10-16,3.595,9120677.58269
2015-10-19,2015-10-19,3.589,2558863.0609
2015-10-20,2015-10-20,3.636,3344982.08697
2015-10-21,2015-10-21,3.527,-10937470.2377
2015-10-22,2015-10-22,3.572,-726070.412559
2015-10-23,2015-10-23,3.635,4788728.12915
2015-10-26,2015-10-26,3.641,2317515.90972
2015-10-27,2015-10-27,3.643,948820.103239
2015-10-28,2015-10-28,3.579,-7126854.09892
2015-10-29,2015-10-29,3.584,-1971203.36631
2015-10-30,2015-10-30,3.585,-590691.255436
2015-11-02,2015-11-02,3.525,-10920109.0851
2015-11-03,2015-11-03,3.498,-7623040.36172
2015-11-04,2015-11-04,3.708,35427938.5461
2015-11-05,2015-11-05,3.767,22537255.3154
2015-11-06,2015-11-06,3.857,23388874.4385
2015-11-09,2015-11-09,3.897,14510438.1462
2015-11-10,2015-11-10,3.886,3809365.78205
2015-11-11,2015-11-11,3.881,681405.260684
2015-11-12,2015-11-12,3.841,-3625403.57977
2015-11-13,2015-11-13,3.804,-4845582.65992
2015-11-16,2015-11-16,3.826,401120.446692
2015-11-17,2015-11-17,3.812,-1253933.98444
2015-11-18,2015-11-18,3.779,-3432976.79481
2015-11-19,2015-11-19,3.836,2659656.80173
2015-11-20,2015-11-20,3.825,13872.4005764
2015-11-23,2015-11-23,3.806,-1106498.39981
2015-11-24,2015-11-24,3.809,-118219.199936
2015-11-25,2015-11-25,3.832,2238956.73335
2015-11-26,2015-11-26,3.814,-775273.888882
2015-11-27,2015-11-27,3.608,-25689879.963
2015-11-30,2015-11-30,3.609,-8427581.85432
2015-12-01,2015-12-01,3.637,2399072.98189
2015-12-02,2015-12-02,3.793,20245642.194
2015-12-03,2015-12-03,3.801,7525423.66465
2015-12-04,2015-12-04,3.729,-4184155.84512
2015-12-07,2015-12-07,3.735,-1080668.21504
2015-12-08,2015-12-08,3.681,-3776914.33835
2015-12-09,2015-12-09,3.686,-944774.779449
2015-12-10,2015-12-10,3.679,-1296584.39315
2015-12-11,2015-12-11,3.661,-2241001.59772
2015-12-14,2015-12-14,3.773,14111292.8008
2015-12-15,2015-12-15,3.737,1321861.86692
2015-12-16,2015-12-16,3.738,505419.55564
2015-12-17,2015-12-17,3.808,7502200.51855
2015-12-18,2015-12-18,3.822,3891255.50618
